__ROW_PATH__,"1896,Cycling","1896,Gymnastics","1896,Swimming","1896,Weightlifting","1896,Wrestling","1900,Archery","1900,Cycling","1900,Gymnastics","1900,Rowing","1900,Sailing","1900,Swimming","1904,Archery","1904,Cycling","1904,Diving","1904,Gymnastics","1904,Rowing","1904,Swimming","1904,Weightlifting","1904,Wrestling","1906,Cycling","1906,Diving","1906,Gymnastics","1906,Rowing","1906,Swimming","1906,Weightlifting","1906,Wrestling","1908,Archery","1908,Cycling","1908,Diving","1908,Gymnastics","1908,Rowing","1908,Sailing","1908,Swimming","1908,Wrestling","1912,Cycling","1912,Diving","1912,Gymnastics","1912,Rowing","1912,Sailing","1912,Swimming","1912,Wrestling","1920,Archery","1920,Cycling","1920,Diving","1920,Gymnastics","1920,Rowing","1920,Sailing","1920,Swimming","1920,Weightlifting","1920,Wrestling","1924,Cycling","1924,Diving","1924,Gymnastics","1924,Rowing","1924,Sailing","1924,Swimming","1924,Weightlifting","1924,Wrestling","1928,Cycling","1928,Diving","1928,Gymnastics","1928,Rowing","1928,Sailing","1928,Swimming","1928,Weightlifting","1928,Wrestling","1932,Cycling","1932,Diving","1932,Gymnastics","1932,Rowing","1932,Sailing","1932,Swimming","1932,Weightlifting","1932,Wrestling","1936,Cycling","1936,Diving","1936,Gymnastics","1936,Rowing","1936,Sailing","1936,Swimming","1936,Weightlifting","1936,Wrestling","1948,Cycling","1948,Diving","1948,Gymnastics","1948,Rowing","1948,Sailing","1948,Swimming","1948,Weightlifting","1948,Wrestling","1952,Cycling","1952,Diving","1952,Gymnastics","1952,Rowing","1952,Sailing","1952,Swimming","1952,Weightlifting","1952,Wrestling","1956,Cycling","1956,Diving","1956,Gymnastics","1956,Rowing","1956,Sailing","1956,Swimming","1956,Weightlifting","1956,Wrestling","1960,Cycling","1960,Diving","1960,Gymnastics","1960,Rowing","1960,Sailing","1960,Swimming","1960,Weightlifting","1960,Wrestling","1964,Cycling","1964,Diving","1964,Gymnastics","1964,Rowing","1964,Sailing","1964,Swimming","1964,Weightlifting","1964,Wrestling","1968,Archery","1968,Cycling","1968,Diving","1968,Gymnastics","1968,Rowing","1968,Sailing","1968,Swimming","1968,Weightlifting","1968,Wrestling","1972,Archery","1972,Cycling","1972,Diving","1972,Gymnastics","1972,Rowing","1972,Sailing","1972,Swimming","1972,Weightlifting","1972,Wrestling","1976,Archery","1976,Cycling","1976,Diving","1976,Gymnastics","1976,Rowing","1976,Sailing","1976,Swimming","1976,Weightlifting","1976,Wrestling","1980,Archery","1980,Cycling","1980,Diving","1980,Gymnastics","1980,Rowing","1980,Sailing","1980,Swimming","1980,Weightlifting","1980,Wrestling","1984,Archery","1984,Cycling","1984,Diving","1984,Gymnastics","1984,Rowing","1984,Sailing","1984,Swimming","1984,Weightlifting","1984,Wrestling","1988,Archery","1988,Cycling","1988,Diving","1988,Gymnastics","1988,Rowing","1988,Sailing","1988,Swimming","1988,Weightlifting","1988,Wrestling","1992,Archery","1992,Cycling","1992,Diving","1992,Gymnastics","1992,Rowing","1992,Sailing","1992,Swimming","1992,Weightlifting","1992,Wrestling","1996,Archery","1996,Cycling","1996,Diving","1996,Gymnastics","1996,Rowing","1996,Sailing","1996,Swimming","1996,Weightlifting","1996,Wrestling","2000,Archery","2000,Cycling","2000,Diving","2000,Gymnastics","2000,Rowing","2000,Sailing","2000,Swimming","2000,Weightlifting","2000,Wrestling","2004,Archery","2004,Cycling","2004,Diving","2004,Gymnastics","2004,Rowing","2004,Sailing","2004,Swimming","2004,Weightlifting","2004,Wrestling","2008,Archery","2008,Cycling","2008,Diving","2008,Gymnastics","2008,Rowing","2008,Sailing","2008,Swimming","2008,Weightlifting","2008,Wrestling","2012,Archery","2012,Cycling","2012,Diving","2012,Gymnastics","2012,Rowing","2012,Sailing","2012,Swimming","2012,Weightlifting","2012,Wrestling","2016,Archery","2016,Cycling","2016,Diving","2016,Gymnastics","2016,Rowing","2016,Sailing","2016,Swimming","2016,Weightlifting","2016,Wrestling","1924,Archery","1928,Archery","1932,Archery","1936,Archery","1948,Archery","1952,Archery","1956,Archery","1960,Archery","1964,Archery","1900,Wrestling","1900,Weightlifting","1908,Weightlifting","1912,Weightlifting","1896,Sailing","1904,Sailing","1906,Sailing","1896,Diving","1900,Diving","1896,Rowing"
,13,34,6,4,3,20,9,3,68,99,23,28,21,3,46,45,34,6,18,21,2,17,107,14,6,3,9,30,7,67,63,48,20,22,35,12,88,46,55,41,13,80,32,14,128,37,37,49,10,26,33,15,24,61,15,54,5,30,33,10,36,63,20,49,10,29,31,12,40,65,40,44,10,35,34,12,36,62,31,47,7,28,38,11,25,42,23,41,13,26,32,12,65,54,30,43,16,30,36,12,69,76,26,61,18,30,39,12,59,62,18,105,15,21,39,12,60,63,25,121,13,24,0,35,11,60,59,24,153,12,22,5,29,11,66,49,40,157,10,33,6,25,12,59,127,33,133,15,37,6,25,12,53,123,24,125,11,24,6,38,12,62,111,35,149,21,46,21,43,12,58,109,32,150,21,41,24,42,12,64,104,37,157,18,37,20,49,12,47,109,36,163,16,28,21,63,34,49,106,37,170,20,26,15,68,36,48,102,35,161,18,31,23,54,34,60,106,46,186,21,30,24,65,35,57,110,36,184,15,29,21,65,34,62,94,26,173,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,8,0,0,1,0,0,1,0,2,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,4,0,0,10,0,1,1,0,3,0,0,12,5,25,0,0,0,0,0,0,0,34,0,0,0,0,0,0,3,20,0,0,0,0,0,0,9,0,18,0,0,0,3,0,0,0,5,10,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,11,0,0,0,4,0,0,18,2,20,2,0,0,8,0,0,0,0,3,0,0,0,8,0,0,6,3,9,0,0,0,9,0,0,16,4,25,1,0,1,9,4,0,21,7,46,0,0,1,17,9,0,19,0,31,0,0,0,1,3,0,8,6,54,0,0,0,10,1,0,13,8,32,0,0,3,6,2,0,9,7,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,9,3,0,0,0,0,0,1,0,0,0,45,5,0,48,0,11,1,3,0,9,0,0,0,1,1,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,11,0,4,0,3,0,0,0,11,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,23,6,16,1,2,0,0,0,0,0,2,10,0,0,0,1,0,0,25,2,6,0,1,0,5,1,0,21,0,3,0,1,0,0,3,0,9,0,1,0,1,0,2,3,1,4,2,0,0,1,0,0,2,0,17,0,1,0,2,0,3,4,0,18,0,3,1,2,0,6,3,0,2,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,21,0,0,0,6,0,0,0,6,2,14,0,4,5,0,3,0,5,13,2,1,13,4,1,1,0,5,12,2,1,12,4,1,0,1,14,12,0,0,0,7,1,3,1,12,3,0,1,6,8,1,7,1,15,24,6,2,14,9,3,4,5,14,12,2,1,15,7,1,0,2,14,10,3,1,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,0,0,0,3,0,0,20,0,19,0,7,0,0,0,0,0,0,2,0,12,0,0,0,0,1,0,0,16,0,0,1,0,1,0,0,9,0,0,9,0,0,0,0,8,0,0,9,0,0,0,0,6,0,0,17,0,0,0,0,3,0,0,8,4,5,0,0,4,0,0,6,5,0,0,0,4,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,6,0,0,0,0,13,5,3,16,72,12,0,0,0,0,0,0,0,0,7,0,4,18,0,1,0,3,6,0,1,0,3,0,0,0,0,1,0,3,0,0,27,5,0,28,5,3,0,3,0,10,0,13,9,5,0,2,1,1,0,0,3,6,0,3,3,8,0,0,3,1,1,3,2,14,0,0,8,0,0,1,1,12,0,0,0,0,5,0,1,4,1,0,7,0,6,0,0,10,0,0,4,0,0,1,0,0,0,0,5,0,0,0,1,2,0,0,3,0,1,0,0,0,6,0,0,0,0,1,0,2,0,1,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,4,2,0,0,1,5,0,0,0,3,3,0,0,0,12,0,0,10,0,0,0,1,0,10,0,2,8,0,1,0,0,0,5,0,1,4,3,6,0,2,3,9,0,2,8,4,11,1,2,0,6,0,1,2,1,21,0,1,1,3,0,0,6,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,1,28,0,0,1,0,1,0,16,8,5,0,0,1,2,0,8,2,1,4,2,0,0,4,3,0,0,5,3,0,3,0,1,0,0,4,0,14,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,3,4,0,0,0,11,0,0,3,4,4,2,27,26,9,8,5,7,0,0,0,0,0,0,0,0,2,1,1,3,3,1,0,0,4,0,1,3,0,2,0,1,11,2,0,18,3,10,0,4,6,2,7,17,4,15,0,4,0,5,0,14,22,5,18,0,3,0,13,2,19,35,7,42,3,3,0,8,1,15,64,10,35,3,4,0,10,4,21,55,2,42,3,1,0,8,0,0,7,2,21,3,3,0,17,0,18,52,3,53,6,2,0,13,1,3,42,0,27,3,3,3,2,2,1,18,3,30,3,3,3,14,3,0,14,6,11,2,0,0,8,2,0,9,0,17,0,0,0,5,4,2,6,2,3,1,1,0,9,0,3,17,0,1,0,0,1,3,1,2,17,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,4,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,5,0,0,0,0,1,0,0,0,5,1,0,0,2,1,2,3,0,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,38,0,1,0,0,0,0,1,0,0,0,1,0,0,20,0,0,0,0,0,4,0,28,5,0,0,2,0,4,0,10,12,0,0,3,0,4,0,13,9,0,0,2,2,10,0,11,18,0,0,2,4,4,0,0,12,6,0,0,0,7,0,0,10,0,0,0,3,12,0,0,0,2,0,0,1,10,0,0,5,2,0,2,2,14,0,8,9,3,0,1,0,15,1,3,5,0,0,0,0,0,11,2,0,7,3,0,0,0,0,0,3,0,0,0,3,1,2,1,1,2,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,4,0,0,3,2,0,1,1,0,0,0,0,7,0,1,0,1,0,6,0,0,7,0,2,0,1,3,5,0,1,2,1,1,0,0,3,4,0,0,12,2,6,0,0,1,1,0,2,10,1,7,0,0,3,1,0,0,4,2,2,0,1,3,1,0,1,2,0,1,0,0,0,2,3,0,6,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,2,0,0,16,0,0,5,0,3,0,0,14,0,0,13,1,1,0,0,20,0,0,5,3,6,0,0,0,17,0,0,0,3,5,0,0,0,21,0,0,3,0,4,1,0,0,15,0,0,0,2,6,0,0,0,0,0,0,0,0,0,1,1,0,14,0,0,0,3,9,0,0,0,7,0,0,1,0,4,0,0,0,8,0,0,1,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,7,0,1,1,3,0,9,0,2,11,0,6,0,1,0,7,0,0,8,0,6,4,0,0,7,0,0,17,1,6,0,0,0,7,0,0,10,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,8,0,0,0,4,0,0,2,3,0,0,0,9,0,10,0,6,3,2,0,2,0,0,0,1,5,0,0,4,0,0,0,3,8,0,0,1,0,0,0,3,6,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,10,0,10,0,0,0,6,0,0,6,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,1,10,0,0,0,2,0,0,2,0,5,0,0,0,4,0,0,2,1,0,0,0,0,3,0,0,13,2,2,0,0,1,4,0,0,15,1,16,0,0,0,4,0,0,20,0,15,0,0,0,1,0,0,11,5,7,0,0,0,3,0,1,9,4,8,0,0,0,6,0,1,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,12,0,0,7,10,0,0,38,8,0,5,7,13,12,1,36,12,3,0,6,10,2,1,29,3,0,8,7,10,0,0,2,28,11,1,22,6,9,1,7,1,26,3,3,14,5,14,2,8,3,27,39,3,14,8,18,3,13,6,32,52,6,40,8,17,0,0,0,0,0,0,0,0,0,1,11,0,29,15,4,21,8,15,4,0,3,28,4,0,30,9,16,0,5,2,20,9,3,19,3,7,0,4,8,25,4,0,2,3,9,0,5,6,8,4,0,1,7,10,1,4,8,2,0,0,8,7,11,0,2,3,12,0,0,9,6,11,3,4,0,16,0,1,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,10,0,0,1,0,0,0,2,9,6,0,0,1,0,0,0,1,4,8,0,0,1,0,0,0,0,4,9,0,0,2,0,0,0,0,4,8,0,0,2,0,0,0,2,2,9,0,0,1,0,0,2,3,1,8,0,0,1,0,0,2,0,1,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,8,1,0,0,0,2,0,0,0,4,0,0,0,0,2,0,1,0,0,1,0,0,0,8,0,2,0,5,0,0,0,0,5,0,1,0,4,0,0,0,0,0,0,0,0,4,2,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,0,5,2,2,12,7,24,5,26,1,4,0,5,5,24,0,11,8,2,6,4,2,0,0,0,12,0,4,5,1,0,0,7,2,0,4,4,0,0,0,6,0,0,10,0,0,0,0,7,0,0,9,0,0,0,0,8,0,1,13,0,0,9,0,7,2,0,8,0,0,8,5,6,0,0,4,0,0,0,0,0,1,0,2,4,0,0,0,5,0,0,2,0,5,0,0,0,3,0,0,0,1,0,2,0,0,6,2,1,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,10,0,2,0,0,0,0,0,0,7,0,4,0,4,0,0,0,2,1,0,1,0,0,0,0,0,0,6,0,2,1,0,0,0,0,2,4,0,1,0,0,0,0,0,1,9,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UK,2,0,0,2,0,0,1,0,1,14,3,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,5,14,0,1,32,37,10,11,13,1,23,24,0,12,0,0,9,1,0,10,4,8,0,2,2,1,0,5,5,7,0,1,11,0,12,16,0,7,0,1,6,0,0,6,2,5,0,0,4,0,0,6,6,0,0,0,12,0,0,13,2,1,2,0,4,0,0,0,1,1,0,1,9,0,0,0,9,2,0,0,0,2,0,0,0,3,1,0,0,0,0,4,2,1,1,0,0,0,0,0,0,5,1,0,0,0,4,0,0,0,4,1,0,0,0,4,0,0,11,4,6,0,0,0,0,0,0,15,0,13,0,0,0,0,0,0,5,2,8,1,1,3,0,0,0,5,2,3,0,0,4,1,0,0,5,3,1,0,0,0,2,0,0,6,3,2,0,0,0,10,0,0,17,7,0,0,0,1,10,2,0,12,9,2,0,0,0,19,0,1,23,10,6,0,0,0,19,1,8,28,8,3,0,0,0,20,5,6,26,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,0,0,0,0,0,0,1,0,9,2,0,28,21,2,44,36,22,3,17,0,0,0,0,1,0,0,1,0,1,0,0,0,5,2,10,0,0,0,0,7,0,0,0,8,0,17,0,22,0,6,0,11,1,20,0,26,0,6,0,9,0,18,0,21,0,2,0,12,20,15,19,16,2,5,0,10,0,10,0,17,1,4,0,10,8,18,10,25,8,4,0,9,0,16,12,19,6,4,0,9,0,21,3,22,7,2,0,6,0,7,5,40,6,3,0,8,0,19,11,61,2,1,0,0,6,0,4,5,83,1,2,2,0,3,0,9,8,74,0,6,2,0,5,1,12,7,55,1,6,0,0,0,0,0,0,0,0,0,2,16,8,26,38,13,63,2,13,7,1,5,1,14,10,45,0,6,0,2,3,11,10,16,56,0,8,4,3,2,11,12,4,60,0,8,4,2,1,6,6,8,66,2,7,0,2,0,19,18,4,65,0,6,0,5,0,20,19,2,68,0,3,3,7,7,10,17,0,68,0,4,4,8,5,16,10,1,71,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0