__ROW_PATH__,"1896,Bronze,Medal","1896,Gold,Medal","1896,Silver,Medal","1900,Bronze,Medal","1900,Gold,Medal","1900,Silver,Medal","1904,Bronze,Medal","1904,Gold,Medal","1904,Silver,Medal","1906,Bronze,Medal","1906,Gold,Medal","1906,Silver,Medal","1908,Bronze,Medal","1908,Gold,Medal","1908,Silver,Medal","1912,Bronze,Medal","1912,Gold,Medal","1912,Silver,Medal","1920,Bronze,Medal","1920,Gold,Medal","1920,Silver,Medal","1924,Bronze,Medal","1924,Gold,Medal","1924,Silver,Medal","1928,Bronze,Medal","1928,Gold,Medal","1928,Silver,Medal","1932,Bronze,Medal","1932,Gold,Medal","1932,Silver,Medal","1936,Bronze,Medal","1936,Gold,Medal","1936,Silver,Medal","1948,Bronze,Medal","1948,Gold,Medal","1948,Silver,Medal","1952,Bronze,Medal","1952,Gold,Medal","1952,Silver,Medal","1956,Bronze,Medal","1956,Gold,Medal","1956,Silver,Medal","1960,Bronze,Medal","1960,Gold,Medal","1960,Silver,Medal","1964,Bronze,Medal","1964,Gold,Medal","1964,Silver,Medal","1968,Bronze,Medal","1968,Gold,Medal","1968,Silver,Medal","1972,Bronze,Medal","1972,Gold,Medal","1972,Silver,Medal","1976,Bronze,Medal","1976,Gold,Medal","1976,Silver,Medal","1980,Bronze,Medal","1980,Gold,Medal","1980,Silver,Medal","1984,Bronze,Medal","1984,Gold,Medal","1984,Silver,Medal","1988,Bronze,Medal","1988,Gold,Medal","1988,Silver,Medal","1992,Bronze,Medal","1992,Gold,Medal","1992,Silver,Medal","1996,Bronze,Medal","1996,Gold,Medal","1996,Silver,Medal","2000,Bronze,Medal","2000,Gold,Medal","2000,Silver,Medal","2004,Bronze,Medal","2004,Gold,Medal","2004,Silver,Medal","2008,Bronze,Medal","2008,Gold,Medal","2008,Silver,Medal","2012,Bronze,Medal","2012,Gold,Medal","2012,Silver,Medal","2016,Bronze,Medal","2016,Gold,Medal","2016,Silver,Medal"
,38,62,43,175,201,228,150,173,163,145,157,156,256,294,281,300,326,315,367,493,448,274,277,281,250,245,239,204,229,214,295,312,310,279,289,284,300,306,291,298,302,293,308,309,294,343,347,339,358,359,340,419,404,392,448,438,434,469,457,458,502,497,477,549,520,513,604,559,549,629,608,605,680,663,661,677,664,660,710,671,667,679,632,630,703,665,655
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,
AHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
ALG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,,1,2,,3,1,1,,,,1,,1,,1,,,,2
ANZ,,,,,,,,,,,,,2,15,2,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,,,,,,,,,,,,,,,,,,,,,,2,5,3,5,3,18,,3,1,4,5,2,1,3,7,2,2,2,1,,1,1,,3,,,1,2,,,,,1,,,,,,,,,,12,,1,2,,,1,,19,3,,17,21,28,,31,20,,3,1,15,,21,1
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,6,,,2,,1,,1,3
AUS,1,2,,3,3,,1,,3,3,,,,,,,,,1,,6,2,3,5,1,1,2,1,3,1,1,,,5,2,9,11,7,2,26,28,13,11,11,24,30,8,6,11,5,35,2,11,7,8,,15,5,6,2,31,7,14,11,18,6,16,14,27,84,32,16,54,60,69,31,49,77,76,31,42,59,18,37,25,23,34
AUT,2,2,1,3,,3,1,2,1,3,3,3,1,,,5,,9,,,,1,,3,2,3,,3,1,1,7,6,42,4,2,2,2,,1,4,,,,1,2,,,,3,,2,2,,1,1,,,1,1,3,1,1,1,,1,,,,6,2,,1,,3,1,1,3,4,2,,1,,,,2,,
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,4,1,,4,1,2,6,2,2,10,1,7
BAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,5,5,6,,1,1,,1,,6,,4,,5,1,
BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
BEL,,,,13,6,24,,,,6,2,3,8,1,24,11,7,1,66,57,65,6,3,30,4,,1,1,,,14,,,8,5,2,,5,3,,,2,2,,2,1,2,,2,,1,,,2,6,,3,,1,,2,1,2,2,,,2,,1,2,2,2,4,,3,2,1,,,1,4,2,,1,2,2,17
BER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,6,11,3,8,8,2,5,16,8,5,8,3,12,7,1,4
BOH,,,,2,,1,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
BRA,,,,,,,,,,,,,,,,,,,5,1,1,,,,,,,,,,,,,10,,,2,1,,,1,,13,,,12,,,3,,1,2,,,3,,,5,4,,2,1,33,5,1,17,,13,1,43,5,15,36,,12,3,18,19,30,14,34,11,14,34,6,36,8
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1
BUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,14,1,3,3,1,3,2,3,5,3,2,21,6,6,10,18,8,13,38,8,44,,,,17,10,14,7,3,7,6,3,12,2,5,6,14,2,1,3,1,1,1,,1,6,,1
CAN,,,,1,1,,12,27,9,,1,1,30,14,8,3,3,2,3,10,3,1,,19,21,7,5,24,2,13,9,1,12,5,,2,,1,3,5,5,9,,,9,1,2,2,4,3,3,9,,2,14,,9,,,,32,19,36,14,4,5,12,27,5,12,8,30,23,4,4,4,3,10,11,11,13,33,1,21,61,4,4
CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,2,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,17,,,1,3,,,,1,,,,,,
CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,24,13,30,6,16,19,18,45,17,19,70,17,39,23,15,52,27,57,74,53,29,56,40,37,46,30
CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,
CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,18,,,1,,,1,,,,,,,
COL,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,1,1,,,1,,,,,,,1,,2,,,1,,1,4,1,3,3,3,2
CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2,,,,,,,,,,,,,,
CRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,12,,16,12,9,1,,3,15,3,3,,2,16,15,4,2,7,15
CUB,,,,,1,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,10,18,3,1,14,6,4,5,8,7,,,,,,,14,42,13,10,37,8,12,18,35,22,32,8,11,2,34,6,5,3,4,5,2
CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,4,2,3,6,1,6,,3,4,6,4,4,12,1,2
DEN,3,1,2,2,4,3,,,,1,14,19,3,,14,33,5,49,1,26,44,3,2,9,4,6,5,4,,7,3,,3,27,7,17,5,3,1,1,1,4,4,2,17,4,7,1,6,5,6,,1,,5,3,,2,4,2,10,,3,3,3,1,9,3,2,1,21,1,4,18,3,9,19,1,6,6,7,8,3,5,16,15,10
DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,1,1,1,,
ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,
EGY,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,2,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,1,1,1,,,,,2,3,,
ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
ESP,,,,,2,,,,,,,,,,,,,,,,23,,,,,3,,1,,,,,,,,3,,,1,,,,14,,,,,,,,,1,,,,,6,3,2,19,3,2,14,2,1,2,2,48,19,22,23,21,20,3,19,9,4,17,16,7,47,25,5,33,17,9,19
EST,,,,,,,,,,,,,,,,,,,,1,2,4,1,1,6,2,1,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,2,1,,2,,1,,1,2,1,,1,4,,
ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,1,2,,,,,,2,2,,,,,,,,2,1,,1,2,,3,4,1,2,2,3,2,4,1,3,3,1,5,1,2
EUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,92,61,,,,,,,,,,,,,,,,,,
FIJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,
FIN,,,,,,,,,,1,2,1,28,1,1,22,9,40,17,21,14,15,24,13,9,8,8,16,5,8,13,8,6,8,17,8,29,8,3,22,3,1,4,1,1,2,3,,1,1,2,6,3,1,,4,2,5,3,1,6,4,2,2,1,1,2,1,4,1,1,2,1,3,1,,,2,2,1,2,4,,1,1,,
FRA,2,5,4,82,52,101,,,2,28,20,16,23,12,5,5,10,11,57,13,71,22,37,51,14,12,24,6,26,8,18,13,13,24,26,22,17,14,9,13,7,13,6,,6,17,1,13,10,12,5,15,2,5,8,5,7,6,18,5,31,20,16,13,12,4,43,9,5,20,21,10,14,22,30,22,21,10,28,25,24,22,30,30,21,20,55
FRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,16,39,44,19,32,21,25,,,,53,30,75,46,32,37,,,,,,,,,,,,,,,,,,,,,
GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
GBR,3,3,3,15,59,34,,1,1,8,9,22,90,147,131,59,47,64,17,52,42,19,15,30,24,7,27,14,9,12,8,12,16,12,7,42,26,3,2,22,8,16,15,2,11,5,4,19,5,9,5,12,8,9,11,6,15,24,5,18,42,9,20,15,22,17,39,8,3,9,2,15,12,22,20,15,17,25,25,31,25,48,48,30,26,64,55
GDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,13,20,57,30,64,42,102,51,61,115,88,,,,48,79,54,,,,,,,,,,,,,,,,,,,,,
GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,,,,2,2,3,3,,3,1,3,4,2,1
GER,2,25,5,11,14,20,7,4,5,6,14,10,6,4,11,23,11,19,,,,,,,41,21,15,7,10,26,61,93,70,,,,26,,14,23,9,20,22,34,33,50,22,44,,,,,,,,,,,,,,,,,,,60,81,57,47,42,35,64,31,23,63,41,45,41,42,16,22,45,27,67,49,43
GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,
GRE,20,10,18,,,,1,1,,30,24,48,1,,3,1,1,,,,5,,1,,,,,,,,,,,,,,,,,1,,,,3,,,,,1,,,,,2,,,,4,1,,1,,1,1,,,,2,,,4,4,8,4,6,5,8,18,4,,3,3,,,3,3,1
GRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
GUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAI,,,,,1,,,,,,,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,1,,,,,
HUN,3,2,1,2,1,2,1,2,1,3,5,5,6,7,7,3,10,17,,,,8,2,12,,10,11,8,20,5,15,25,1,22,15,25,32,53,17,14,30,20,37,13,16,7,42,7,29,32,20,25,10,46,35,14,6,40,8,13,,,,15,20,9,8,14,23,26,8,9,4,25,24,4,24,12,3,16,8,6,12,8,7,12,3
INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,3,3,2,1,2,2,4,3,1,1,3,2,2,1,,1,,2,2
IND,,,,,,2,,,,,,,,,,,,,,,,,,,,14,,,15,,,19,,,20,,1,14,,,17,,,,13,,15,,16,,,14,,,,,,,16,,,,,,,,,,,1,,,1,,,,,1,2,1,,4,,2,1,,1
IOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,1,1,
IRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,3,1,2,2,3,,1,2,,,2,2,1,1,,2,1,,1,,,,,,,,,1,2,,1,1,1,1,1,3,,2,2,2,1,1,,3,4,5,4,3,1
